FirstName,LastName,Position,JerseyNo,Height,Weight,DOB,College,
Kristaps,Porzingis,F/C,6,7 ft 3 in (2.21 m),240 lb (109 kg),1995–08–02,NaN,
Dwight,Powell,F/C,7,6 ft 10 in (2.08 m),240 lb (109 kg),1991–07–20,Stanford,
Josh,Reaves,G,23,6 ft 4 in (1.93 m),214 lb (97 kg),1997–06–04,Penn State,
Delon,Wright,G,55,6 ft 5 in (1.96 m),241 lb (109 kg),1992–04–26,Utah,
Bruno,Caboclo,F,5,6 ft 9 in (2.06 m),218 lb (99 kg),1995–09–21,NaN,
DeMarre,Carroll,F,9,6 ft 8 in (2.03 m),210 lb (95 kg),1986–07–27,Missouri,
Tyson,Chandler,C,19,7 ft 0 in (2.13 m),235 lb (107 kg),1982–10–02,NaN,
Chris,Clemons,G,3,5 ft 9 in (1.75 m),180 lb (82 kg),1997–07–23,Campbell,
Robert,Covington,F,33,6 ft 7 in (2.01 m),209 lb (95 kg),1990–12–14,Tennessee State,
Michael,Frazier,G,21,6 ft 3 in (1.91 m),200 lb (91 kg),1994–03–08,Florida,
Jeff,Green,F,32,6 ft 8 in (2.03 m),235 lb (107 kg),1986–08–28,Georgetown,
Eric,Gordon,G,10,6 ft 3 in (1.91 m),215 lb (98 kg),1988–12–25,Indiana,
James,Harden,G,13,6 ft 5 in (1.96 m),220 lb (100 kg),1989–08–26,Arizona State,
Isaiah,Hartenstein,F/C,55,7 ft 0 in (2.13 m),250 lb (113 kg),1998–05–05,NaN,
Danuel,House,G/F,4,6 ft 6 in (1.98 m),220 lb (100 kg),1993–06–07,Texas A&M,
William,Howard,G/F,52,6 ft 8 in (2.03 m),207 lb (94 kg),1993–10–25,NaN,
Ben,McLemore,G,16,6 ft 3 in (1.91 m),189 lb (86 kg),1993–02–11,Kansas,
Austin,Rivers,G,25,6 ft 3 in (1.91 m),200 lb (91 kg),1992–08–01,Duke,
Thabo,Sefolosha,G/F,18,6 ft 6 in (1.98 m),215 lb (98 kg),1984–05–02,NaN,
P. J.,Tucker,F,17,6 ft 5 in (1.96 m),225 lb (102 kg),1985–05–05,NaN,
Russell,Westbrook,G,0,6 ft 3 in (1.91 m),190 lb (86 kg),1988–11–12,UCLA,
Grayson,Allen,G,3,6 ft 5 in (1.96 m),198 lb (90 kg),1995–10–08,Duke,
Kyle,Anderson,G/F,1,6 ft 9 in (2.06 m),230 lb (104 kg),1993–09–20,UCLA,
Dillon,Brooks,G/F,24,6 ft 6 in (1.98 m),220 lb (100 kg),1996–01–22,Oregon,
Brandon,Clarke,G/F,15,6 ft 8 in (2.03 m),210 lb (95 kg),1996–09–19,Gonzaga,
Gorgui,Dieng,F/C,14,6 ft 10 in (2.08 m),252 lb (114 kg),1990–01–18,Louisville,
Marko,Guduric,F,23,6 ft 6 in (1.98 m),201 lb (91 kg),1995–03–08,NaN,
Jaren,Jackson,F/C,13,6 ft 11 in (2.11 m),242 lb (110 kg),1999–09–15,Michigan State,
Josh,Jackson,G/F,20,6 ft 8 in (2.03 m),207 lb (94 kg),1997–02–10,Kansas,
Tyus,Jones,G,21,6 ft 2 in (1.88 m),196 lb (89 kg),1996–05–10,Duke,
John,Konchar,G,46,6 ft 5 in (1.96 m),210 lb (95 kg),1996–03–22,NaN,
De'Anthony,Melton,G,0,6 ft 4 in (1.93 m),200 lb (91 kg),1998–05–28,USC,
Ja,Morant,G,12,6 ft 3 in (1.91 m),175 lb (79 kg),1999–08–10,Murray State,
Jontay,Porter,F/C,–,6 ft 10 in (2.08 m),236 lb (107 kg),1999–11–15,NaN,
Anthony,Tolliver,F,44,6 ft 8 in (2.03 m),240 lb (109 kg),1985–06–01,Creighton,
Jonas,Valanciunas,C,17,7 ft 0 in (2.13 m),265 lb (120 kg),1992–05–06,NaN,
Yuta,Watanabe,G/F,18,6 ft 9 in (2.06 m),205 lb (93 kg),1994–10–13,George Washington,
Justise,Winslow,G/F,7,6 ft 7 in (2.01 m),222 lb (101 kg),1996–03–26,Duke,
Nickeil,Alexander-Walker,G,0,6 ft 5 in (1.96 m),205 lb (93 kg),1998–09–02,Virginia Tech,
Lonzo,Ball,G,2,6 ft 6 in (1.98 m),190 lb (86 kg),1997–10–27,UCLA,
Zylan,Cheatham,F,45,6 ft 5 in (1.96 m),220 lb (100 kg),1995–11–17,Arizona State,
Derrick,Favors,F,22,6 ft 9 in (2.06 m),246 lb (112 kg),1991–07–15,Georgia Tech,
Josh,Gray,G,5,6 ft 0 in (1.83 m),180 lb (82 kg),1993–09–09,LSU,
Josh,Hart,G,3,6 ft 5 in (1.96 m),204 lb (93 kg),1995–03–06,Villanova,
Jaxson,Hayes,F/C,10,6 ft 11 in (2.11 m),220 lb (100 kg),2000–05–23,Texas,
Jrue,Holiday,G,11,6 ft 3 in (1.91 m),180 lb (82 kg),1990–06–12,UCLA,
Brandon,Ingram,F,14,6 ft 7 in (2.01 m),196 lb (89 kg),1997–09–02,Duke,
Frank,Jackson,G,15,6 ft 3 in (1.91 m),205 lb (93 kg),1998–05–04,Duke,
Nicolo,Melli,F,20,6 ft 9 in (2.06 m),236 lb (107 kg),1991–01–26,NaN,
Darius,Miller,F,21,6 ft 6 in (1.98 m),225 lb (102 kg),1990–03–21,Kentucky,
E'Twaun,Moore,G,55,6 ft 3 in (1.91 m),191 lb (87 kg),1989–02–25,Purdue,
Jahlil,Okafor,F/C,9,6 ft 10 in (2.08 m),270 lb (122 kg),1995–12–15,Duke,
JJ,Redick,G,4,6 ft 3 in (1.91 m),190 lb (86 kg),1984–06–24,Duke,
Kenrich,Williams,G/F,34,6 ft 6 in (1.98 m),210 lb (95 kg),1994–12–02,TCU,
Zion,Williamson,F,1,6 ft 6 in (1.98 m),284 lb (129 kg),2000–07–06,Duke,
LaMarcus,Aldridge,F/C,12,6 ft 11 in (2.11 m),260 lb (118 kg),1985–07–19,Texas,
Marco,Belinelli,G,18,6 ft 5 in (1.96 m),210 lb (95 kg),1986–03–25,NaN,
DeMar,DeRozan,G/F,10,6 ft 7 in (2.01 m),220 lb (100 kg),1989–08–07,USC,
Drew,Eubanks,F/C,14,6 ft 10 in (2.08 m),250 lb (113 kg),1997–02–01,Oregon State,
Bryn,Forbes,G,11,6 ft 3 in (1.91 m),190 lb (86 kg),1993–07–23,Michigan State,
Rudy,Gay,G/F,22,6 ft 8 in (2.03 m),230 lb (104 kg),1986–08–17,Connecticut,
Keldon,Johnson,G/F,3,6 ft 6 in (1.98 m),211 lb (96 kg),1999–10–11,Kentucky,
Trey,Lyles,F,41,6 ft 10 in (2.08 m),234 lb (106 kg),1995–11–05,Kentucky,
Chimezie,Metu,F/C,7,6 ft 10 in (2.08 m),225 lb (102 kg),1997–03–22,USC,
Patty,Mills,G,8,6 ft 0 in (1.83 m),180 lb (82 kg),1988–08–11,Saint Mary's,
Dejounte,Murray,G,5,6 ft 5 in (1.96 m),170 lb (77 kg),1996–09–19,Washington,
Jakob,Poltl,C,25,7 ft 0 in (2.13 m),230 lb (104 kg),1995–10–15,Utah,
Luka,Samanic,F,19,6 ft 11 in (2.11 m),227 lb (103 kg),2000–01–09,NaN,
Lonnie,Walker,G/F,1,6 ft 5 in (1.96 m),205 lb (93 kg),1998–12–14,Miami (FL),
Quinndary,Weatherspoon,G,15,6 ft 4 in (1.93 m),207 lb (94 kg),1996–09–10,Mississippi State,
Derrick,White,G,4,6 ft 4 in (1.93 m),190 lb (86 kg),1994–07–02,Colorado,
Will,Barton,G,5,6 ft 5 in (1.96 m),181 lb (82 kg),1991–01–06,Memphis,
Keita,Bates-Diop,F,6,6 ft 8 in (2.03 m),235 lb (107 kg),1996–01–23,Ohio State,
Bol,Bol,F/C,10,7 ft 2 in (2.18 m),220 lb (100 kg),1999–11–16,NaN,
Vlatko,Cancar,F,31,6 ft 8 in (2.03 m),236 lb (107 kg),1997–04–10,NaN,
Torrey,Craig,F,3,6 ft 7 in (2.01 m),221 lb (100 kg),1990–12–19,USC Upstate,
Troy,Daniels,G,30,6 ft 4 in (1.93 m),200 lb (91 kg),1991–06–15,Virginia Commonwealth,
P. J.,Dozier,G/F,35,6 ft 6 in (1.98 m),205 lb (93 kg),1996–10–25,NaN,
Jerami,Grant,F,9,6 ft 8 in (2.03 m),210 lb (95 kg),1994–03–12,Syracuse,
Gary,Harris,G,14,6 ft 4 in (1.93 m),210 lb (95 kg),1994–09–14,Michigan State,
Nikola,Jokic,C,15,7 ft 0 in (2.13 m),284 lb (129 kg),1995–02–19,NaN,
Paul,Millsap,F,4,6 ft 7 in (2.01 m),257 lb (117 kg),1985–02–10,Louisiana Tech,
Monte,Morris,G,11,6 ft 2 in (1.88 m),183 lb (83 kg),1995–06–27,Iowa State,
Jamal,Murray,G,27,6 ft 4 in (1.93 m),215 lb (98 kg),1997–02–23,Kentucky,
Mason,Plumlee,F/C,7,6 ft 11 in (2.11 m),254 lb (115 kg),1990–03–05,Duke,
Michael,Porter,F,1,6 ft 10 in (2.08 m),218 lb (99 kg),1998–06–29,Missouri,
Noah,Vonleh,F,32,6 ft 10 in (2.08 m),247 lb (112 kg),1995–08–24,Indiana,
Malik,Beasley,G,5,6 ft 4 in (1.93 m),187 lb (85 kg),1996–11–26,Florida State,
Jarrett,Culver,G/F,23,6 ft 6 in (1.98 m),195 lb (88 kg),1999–02–20,Texas Tech,
Jacob,Evans,G/F,12,6 ft 4 in (1.93 m),210 lb (95 kg),1997–06–18,Cincinnati,
Juan,Hernangomez,F,41,6 ft 9 in (2.06 m),214 lb (97 kg),1995–09–28,NaN,
James,Johnson,F,16,6 ft 7 in (2.01 m),240 lb (109 kg),1987–02–20,Wake Forest,
Jake,Layman,F,10,6 ft 8 in (2.03 m),209 lb (95 kg),1994–03–07,Maryland,
Kelan,Martin,F,30,6 ft 5 in (1.96 m),230 lb (104 kg),1995–08–03,Butler,
Jordan,McLaughlin,G,6,5 ft 11 in (1.80 m),185 lb (84 kg),1996–04–09,USC,
Jaylen,Nowell,G,4,6 ft 4 in (1.93 m),201 lb (91 kg),1999–07–09,Washington,
Josh,Okogie,G,20,6 ft 4 in (1.93 m),213 lb (97 kg),1998–09–01,Georgia Tech,
Naz,Reid,F/C,11,6 ft 9 in (2.06 m),249 lb (113 kg),1999–08–26,LSU,
D'Angelo,Russell,G,0,6 ft 4 in (1.93 m),193 lb (88 kg),1996–02–23,Ohio State,
Omari,Spellman,F,14,6 ft 8 in (2.03 m),245 lb (111 kg),1997–07–21,Villanova,
Karl-Anthony,Towns,F/C,32,6 ft 11 in (2.11 m),248 lb (112 kg),1995–11–15,Kentucky,
Evan,Turner,G/F,1,6 ft 6 in (1.98 m),220 lb (100 kg),1988–06–10,Ohio State,
Jarred,Vanderbilt,F,3,6 ft 9 in (2.06 m),214 lb (97 kg),1999–04–03,Kentucky,
Steven,Adams,C,12,6 ft 11 in (2.11 m),265 lb (120 kg),1993–07–20,Pittsburgh,
Darius,Bazley,G/F,7,6 ft 8 in (2.03 m),208 lb (94 kg),2000–06–12,NaN,
Deonte,Burton,G/F,30,6 ft 4 in (1.93 m),240 lb (109 kg),1994–01–31,Iowa State,
Hamidou,Diallo,G,6,6 ft 5 in (1.96 m),202 lb (92 kg),1998–07–31,Kentucky,
Luguentz,Dort,G,5,6 ft 3 in (1.91 m),215 lb (98 kg),1999–04–19,Arizona State,
Terrance,Ferguson,G,23,6 ft 6 in (1.98 m),190 lb (86 kg),1998–05–17,NaN,
Danilo,Gallinari,F,8,6 ft 10 in (2.08 m),233 lb (106 kg),1988–08–08,NaN,
Shai,Gilgeous-Alexander,G/F,2,6 ft 5 in (1.96 m),180 lb (82 kg),1998–07–12,Kentucky,
Kevin,Hervey,F,15,6 ft 9 in (2.06 m),230 lb (104 kg),1996–07–09,Texas-Arlington,
Mike,Muscala,F/C,33,6 ft 10 in (2.08 m),240 lb (109 kg),1991–07–01,Bucknell,
Abdel,Nader,G,11,6 ft 5 in (1.96 m),225 lb (102 kg),1993–09–25,Iowa State,
Nerlens,Noel,F/C,9,6 ft 10 in (2.08 m),220 lb (100 kg),1994–04–10,Kentucky,
Chris,Paul,G,3,6 ft 1 in (1.85 m),175 lb (79 kg),1985–05–06,Wake Forest,
Andre,Roberson,G/F,21,6 ft 7 in (2.01 m),210 lb (95 kg),1991–12–04,Colorado,
Isaiah,Roby,F,22,6 ft 8 in (2.03 m),230 lb (104 kg),1998–02–03,Nebraska,
Dennis,Schroder,G,17,6 ft 1 in (1.85 m),172 lb (78 kg),1993–09–15,NaN,
Carmelo,Anthony,F,0,6 ft 8 in (2.03 m),240 lb (109 kg),1984–05–29,Syracuse,
Trevor,Ariza,F,8,6 ft 8 in (2.03 m),215 lb (98 kg),1985–06–30,UCLA,
Moses,Brown,C,4,7 ft 1 in (2.16 m),245 lb (111 kg),1999–10–13,UCLA,
Zach,Collins,F/C,33,7 ft 0 in (2.13 m),235 lb (107 kg),1997–11–19,Gonzaga,
Wenyen,Gabriel,F,35,6 ft 9 in (2.06 m),205 lb (93 kg),1997–03–26,Kentucky,
Mario,Hezonja,F,44,6 ft 8 in (2.03 m),225 lb (102 kg),1995–02–25,NaN,
Jaylen,Hoard,F,6,6 ft 8 in (2.03 m),215 lb (98 kg),1999–03–30,Wake Forest,
Rodney,Hood,F,5,6 ft 8 in (2.03 m),206 lb (93 kg),1992–10–20,Duke,
Damian,Lillard,G,0,6 ft 3 in (1.91 m),195 lb (88 kg),1990–07–15,Weber State,
Nassir,Little,F,22,6 ft 6 in (1.98 m),220 lb (100 kg),2000–02–11,North Carolina,
CJ,McCollum,G,3,6 ft 3 in (1.91 m),190 lb (86 kg),1991–09–19,Lehigh,
Jusuf,Nurkic,C,27,7 ft 0 in (2.13 m),275 lb (125 kg),1994–08–23,NaN,
Anfernee,Simons,G,1,6 ft 4 in (1.93 m),185 lb (84 kg),1999–06–08,NaN,
Caleb,Swanigan,F,50,6 ft 9 in (2.06 m),260 lb (118 kg),1997–04–18,Purdue,
Gary,Trent,G,2,6 ft 6 in (1.98 m),205 lb (93 kg),1999–01–18,Duke,
Hassan,Whiteside,C,21,7 ft 0 in (2.13 m),265 lb (120 kg),1989–06–13,Marshall,
Bojan,Bogdanovic,F,44,6 ft 8 in (2.03 m),226 lb (103 kg),1989–04–18,NaN,
Tony,Bradley,F/C,13,6 ft 10 in (2.08 m),248 lb (112 kg),1998–01–08,North Carolina,
Jarrell,Brantley,F,5,6 ft 5 in (1.96 m),250 lb (113 kg),1996–06–01,Charleston,
Jordan,Clarkson,G,0,6 ft 4 in (1.93 m),186 lb (84 kg),1992–06–07,Missouri,
Mike,Conley,G,10,6 ft 1 in (1.85 m),175 lb (79 kg),1987–10–11,Ohio State,
Ed,Davis,C,17,6 ft 9 in (2.06 m),218 lb (99 kg),1989–06–05,North Carolina,
Rudy,Gobert,C,27,7 ft 1 in (2.16 m),258 lb (117 kg),1992–06–26,NaN,
Joe,Ingles,G/F,2,6 ft 7 in (2.01 m),220 lb (100 kg),1987–10–02,NaN,
Donovan,Mitchell,G,45,6 ft 1 in (1.85 m),215 lb (98 kg),1996–09–07,Louisville,
Juwan,Morgan,F,16,6 ft 8 in (2.03 m),232 lb (105 kg),1997–04–17,Indiana,
Emmanuel,Mudiay,G,15,6 ft 3 in (1.91 m),200 lb (91 kg),1996–03–05,NaN,
Georges,Niang,F,31,6 ft 7 in (2.01 m),230 lb (104 kg),1993–06–17,Iowa State,
Royce,O'Neale,F,23,6 ft 4 in (1.93 m),226 lb (103 kg),1993–06–05,Baylor,
Miye,Oni,G/F,81,6 ft 5 in (1.96 m),206 lb (93 kg),1997–08–04,Yale,
Rayjon,Tucker,G,6,6 ft 3 in (1.91 m),209 lb (95 kg),1997–09–24,Arkansas-Little Rock,
Nigel,Williams-Goss,G,0,6 ft 2 in (1.88 m),190 lb (86 kg),1994–09–16,Gonzaga,
Justin,Wright-Foreman,G,3,6 ft 0 in (1.83 m),190 lb (86 kg),1997–10–27,Hofstra,
Dragan,Bender,F,10,7 ft 0 in (2.13 m),249 lb (113 kg),1997–11–17,NaN,
Ky,Bowman,G,12,6 ft 1 in (1.85 m),187 lb (85 kg),1997–06–17,Boston College,
Marquese,Chriss,F,32,6 ft 9 in (2.06 m),240 lb (109 kg),1997–07–02,Washington,
Stephen,Curry,G,30,6 ft 3 in (1.91 m),185 lb (84 kg),1988–03–14,Davidson,
Draymond,Green,F,23,6 ft 6 in (1.98 m),230 lb (104 kg),1990–03–04,Michigan State,
Damion,Lee,G/F,1,6 ft 5 in (1.96 m),210 lb (95 kg),1992–10–21,Louisville,
Kevon,Looney,F,5,6 ft 9 in (2.06 m),222 lb (101 kg),1996–02–06,UCLA,
Mychal,Mulder,G,15,6 ft 4 in (1.93 m),228 lb (103 kg),1994–06–14,Kentucky,
Eric,Paschall,F,7,6 ft 6 in (1.98 m),255 lb (116 kg),1996–11–04,Villanova,
Jordan,Poole,G,3,6 ft 4 in (1.93 m),194 lb (88 kg),1999–06–19,Michigan,
Chasson,Randle,G,25,6 ft 2 in (1.88 m),185 lb (84 kg),1993–02–05,Stanford,
Alen,Smailagic,F,6,6 ft 10 in (2.08 m),215 lb (98 kg),2000–08–18,NaN,
Klay,Thompson,G,11,6 ft 6 in (1.98 m),215 lb (98 kg),1990–02–08,Washington State,
Juan,Toscano-Anderson,F,95,6 ft 6 in (1.98 m),209 lb (95 kg),1993–04–10,Marquette,
Andrew,Wiggins,F,22,6 ft 7 in (2.01 m),197 lb (89 kg),1995–02–23,Kansas,
Patrick,Beverley,G,21,6 ft 1 in (1.85 m),180 lb (82 kg),1988–07–12,Arkansas,
Amir,Coffey,G/F,7,6 ft 7 in (2.01 m),210 lb (95 kg),1997–06–17,Minnesota,
Paul,George,F,13,6 ft 8 in (2.03 m),220 lb (100 kg),1990–05–02,Fresno State,
JaMychal,Green,F/C,4,6 ft 8 in (2.03 m),227 lb (103 kg),1990–06–21,Alabama,
Montrezl,Harrell,F/C,5,6 ft 7 in (2.01 m),240 lb (109 kg),1994–01–26,Louisville,
Reggie,Jackson,G,1,6 ft 3 in (1.91 m),208 lb (94 kg),1990–04–16,Boston College,
Mfiondu,Kabengele,F/C,25,6 ft 9 in (2.06 m),250 lb (113 kg),1997–08–14,Florida State,
Kawhi,Leonard,F,2,6 ft 7 in (2.01 m),225 lb (102 kg),1991–06–29,San Diego State,
Terance,Mann,G/F,14,6 ft 5 in (1.96 m),215 lb (98 kg),1996–10–18,Florida State,
Rodney,McGruder,G,19,6 ft 4 in (1.93 m),205 lb (93 kg),1991–07–29,Kansas State,
Marcus,Morris,F,31,6 ft 8 in (2.03 m),218 lb (99 kg),1989–09–02,Kansas,
Johnathan,Motley,F,15,6 ft 8 in (2.03 m),230 lb (104 kg),1995–05–04,Baylor,
Patrick,Patterson,F,54,6 ft 8 in (2.03 m),235 lb (107 kg),1989–03–14,Kentucky,
Landry,Shamet,G,20,6 ft 4 in (1.93 m),190 lb (86 kg),1997–03–13,Wichita State,
Lou,Williams,G,23,6 ft 1 in (1.85 m),175 lb (79 kg),1986–10–27,NaN,
Ivica,Zubac,C,40,7 ft 0 in (2.13 m),240 lb (109 kg),1997–03–18,NaN,
Kostas,Antetokounmpo,F,37,6 ft 10 in (2.08 m),200 lb (91 kg),1997–11–20,Dayton,
Avery,Bradley,G,11,6 ft 2 in (1.88 m),180 lb (82 kg),1990–11–26,Texas,
Devontae,Cacok,F,12,6 ft 7 in (2.01 m),240 lb (109 kg),1996–10–08,NaN,
Kentavious,Caldwell-Pope,G,1,6 ft 5 in (1.96 m),205 lb (93 kg),1993–02–18,Georgia,
Alex,Caruso,G,4,6 ft 5 in (1.96 m),186 lb (84 kg),1994–02–28,Texas A&M,
Quinn,Cook,G,28,6 ft 2 in (1.88 m),179 lb (81 kg),1993–03–23,Duke,
Anthony,Davis,F/C,3,6 ft 10 in (2.08 m),253 lb (115 kg),1993–03–11,Kentucky,
Jared,Dudley,F,10,6 ft 7 in (2.01 m),237 lb (108 kg),1985–07–10,Boston College,
Danny,Green,G/F,14,6 ft 6 in (1.98 m),215 lb (98 kg),1987–06–22,North Carolina,
Talen,Horton-Tucker,G,5,6 ft 4 in (1.93 m),235 lb (107 kg),2000–11–25,Iowa State,
Dwight,Howard,C,39,6 ft 11 in (2.11 m),265 lb (120 kg),1985–12–08,NaN,
LeBron,James,F,23,6 ft 8 in (2.03 m),250 lb (113 kg),1984–12–30,NaN,
Kyle,Kuzma,F,0,6 ft 9 in (2.06 m),220 lb (100 kg),1995–07–24,Utah,
JaVale,McGee,C,7,7 ft 0 in (2.13 m),270 lb (122 kg),1988–01–19,Nevada,
Markieff,Morris,F,88,6 ft 8 in (2.03 m),245 lb (111 kg),1989–09–02,Kansas,
Rajon,Rondo,G,9,6 ft 1 in (1.85 m),186 lb (84 kg),1986–02–22,Kentucky,
Dion,Waiters,G,18,6 ft 3 in (1.91 m),215 lb (98 kg),1991–12–10,Syracuse,
Deandre,Ayton,C,22,6 ft 11 in (2.11 m),250 lb (113 kg),1998–07–23,Arizona,
Aron,Baynes,F/C,46,6 ft 10 in (2.08 m),260 lb (118 kg),1986–12–09,Washington State,
Devin,Booker,G,1,6 ft 5 in (1.96 m),206 lb (93 kg),1996–10–30,Kentucky,
Mikal,Bridges,F,25,6 ft 6 in (1.98 m),209 lb (95 kg),1996–08–30,Villanova,
Jevon,Carter,G,4,6 ft 1 in (1.85 m),200 lb (91 kg),1995–09–14,West Virginia,
Cheick,Diallo,F/C,14,6 ft 8 in (2.03 m),219 lb (99 kg),1996–09–13,Kansas,
Jared,Harper,G,12,5 ft 11 in (1.80 m),175 lb (79 kg),1997–09–14,Auburn,
Ty,Jerome,G/F,10,6 ft 5 in (1.96 m),195 lb (88 kg),1997–07–08,Virginia,
Cameron,Johnson,F,23,6 ft 8 in (2.03 m),210 lb (95 kg),1996–03–03,North Carolina,
Frank,Kaminsky,F/C,8,7 ft 0 in (2.13 m),240 lb (109 kg),1993–04–04,Wisconsin,
Jalen,Lecque,G,0,6 ft 4 in (1.93 m),185 lb (84 kg),2000–06–13,NaN,
Elie,Okobo,G/F,2,6 ft 3 in (1.91 m),190 lb (86 kg),1997–10–23,NaN,
Kelly,Oubre,G/F,3,6 ft 7 in (2.01 m),203 lb (92 kg),1995–12–09,Kansas,
Tariq,Owens,F,41,6 ft 10 in (2.08 m),205 lb (93 kg),1995–06–30,Texas Tech,
Ricky,Rubio,G,11,6 ft 3 in (1.91 m),190 lb (86 kg),1990–10–21,NaN,
Dario,Saric,F,20,6 ft 10 in (2.08 m),225 lb (102 kg),1994–04–08,NaN,
Marvin,Bagley,F,35,6 ft 11 in (2.11 m),235 lb (107 kg),1999–03–14,Duke,
Harrison,Barnes,F,40,6 ft 8 in (2.03 m),225 lb (102 kg),1992–05–30,North Carolina,
Kent,Bazemore,G,26,6 ft 5 in (1.96 m),201 lb (91 kg),1989–07–01,Old Dominion,
Nemanja,Bjelica,F,88,6 ft 10 in (2.08 m),234 lb (106 kg),1988–05–09,NaN,
Bogdan,Bogdanovic,G,8,6 ft 6 in (1.98 m),220 lb (100 kg),1992–08–18,NaN,
Yogi,Ferrell,G,3,6 ft 0 in (1.83 m),178 lb (81 kg),1993–05–09,Indiana,
De'Aaron,Fox,G,5,6 ft 3 in (1.91 m),175 lb (79 kg),1997–12–20,Kentucky,
Harry,Giles,F/C,20,6 ft 11 in (2.11 m),240 lb (109 kg),1998–04–22,Duke,
Kyle,Guy,G,7,6 ft 1 in (1.85 m),167 lb (76 kg),1997–08–11,Virginia,
Buddy,Hield,G,24,6 ft 4 in (1.93 m),220 lb (100 kg),1992–12–17,Oklahoma,
Richaun,Holmes,F,22,6 ft 10 in (2.08 m),235 lb (107 kg),1993–10–15,Bowling Green,
Justin,James,G/F,10,6 ft 7 in (2.01 m),190 lb (86 kg),1997–01–24,Wyoming,
DaQuan,Jeffries,G/F,19,6 ft 5 in (1.96 m),230 lb (104 kg),1997–08–30,Tulsa,
Cory,Joseph,G,9,6 ft 3 in (1.91 m),200 lb (91 kg),1991–08–20,Texas,
Alex,Len,C,25,7 ft 1 in (2.16 m),250 lb (113 kg),1993–06–16,Maryland,
Eric,Mika,F/C,42,6 ft 10 in (2.08 m),233 lb (106 kg),1995–01–05,NaN,
Jabari,Parker,F,33,6 ft 8 in (2.03 m),245 lb (111 kg),1995–05–15,Duke,
